Car_ID,Make,Model,Year,Price
406,Suzuki,Alto,2022,44914
1010,Suzuki,Swift,2015,44893
1023,Suzuki,Swift,2021,44854
273,Ford,Mustang,2016,44819
130,Hyundai,Elantra,2012,44796
1486,Hyundai,Elantra,2023,44748
348,Toyota,Camry,2016,44715
206,Suzuki,Alto,2025,44673
227,Honda,Civic,2014,44607
758,Suzuki,Swift,2014,44584
97,Ford,Explorer,2010,44580
493,Suzuki,Swift,2011,44554
668,Hyundai,Sonata,2023,44530
1110,Toyota,Corolla,2016,44503
23,Honda,Accord,2019,44499
792,Ford,Explorer,2013,44443
351,Honda,Civic,2026,44440
1362,Honda,Accord,2021,44414
400,Hyundai,Sonata,2022,44344
625,Suzuki,Alto,2024,44340
1335,Toyota,Camry,2023,44289
809,Toyota,Corolla,2012,44283
1333,Hyundai,Elantra,2019,44279
829,Toyota,Corolla,2010,44188
1365,Hyundai,Elantra,2014,44176
304,Suzuki,Swift,2020,44117
461,Honda,Accord,2012,44116
1071,Toyota,Camry,2014,44067
973,Honda,Civic,2014,44059
486,Honda,Accord,2011,44036
215,Suzuki,Alto,2021,44028
744,Hyundai,Sonata,2018,44028
470,Suzuki,Swift,2026,43985
487,Toyota,Corolla,2016,43951
596,Toyota,Corolla,2018,43917
136,Honda,Civic,2013,43890
1187,Honda,Civic,2018,43780
779,Hyundai,Elantra,2010,43718
1269,Suzuki,Swift,2011,43713
1382,Suzuki,Alto,2012,43701
329,Toyota,Corolla,2024,43661
249,Toyota,Corolla,2015,43655
612,Suzuki,Alto,2016,43653
370,Honda,Accord,2014,43553
191,Ford,Mustang,2019,43544
293,Honda,Civic,2019,43478
1149,Toyota,Camry,2022,43472
874,Toyota,Camry,2017,43440
337,Honda,Accord,2019,43437
769,Honda,Civic,2023,43428
222,Toyota,Camry,2018,43375
1100,Suzuki,Alto,2020,43373
1285,Suzuki,Alto,2015,43338
586,Hyundai,Elantra,2018,43321
218,Suzuki,Swift,2017,43303
1410,Hyundai,Elantra,2012,43293
833,Toyota,Camry,2026,43290
467,Hyundai,Elantra,2021,43275
1040,Suzuki,Alto,2016,43243
1283,Ford,Mustang,2018,43238
663,Toyota,Camry,2018,43200
1384,Toyota,Camry,2018,43186
617,Hyundai,Elantra,2019,43184
217,Toyota,Camry,2019,43172
895,Toyota,Corolla,2023,43160
742,Toyota,Corolla,2025,43151
1196,Suzuki,Swift,2019,43149
188,Ford,Mustang,2019,43148
174,Honda,Civic,2018,43145
642,Suzuki,Alto,2018,43136
1476,Honda,Accord,2025,43127
485,Hyundai,Elantra,2025,43086
949,Toyota,Camry,2014,43068
911,Suzuki,Alto,2020,43067
144,Suzuki,Swift,2019,43048
575,Hyundai,Elantra,2013,43038
1132,Honda,Accord,2017,43017
90,Ford,Explorer,2012,42958
997,Suzuki,Alto,2013,42918
423,Suzuki,Alto,2017,42880
1359,Toyota,Corolla,2017,42877
1068,Hyundai,Elantra,2016,42807
69,Honda,Civic,2018,42793
740,Honda,Accord,2015,42790
1394,Ford,Mustang,2011,42731
772,Suzuki,Alto,2011,42704
1436,Toyota,Camry,2024,42702
477,Honda,Accord,2023,42689
558,Ford,Mustang,2015,42686
1091,Suzuki,Swift,2013,42679
918,Ford,Explorer,2022,42639
439,Suzuki,Alto,2018,42637
1108,Suzuki,Alto,2012,42618
765,Honda,Accord,2016,42583
602,Honda,Accord,2017,42581
683,Toyota,Corolla,2019,42574
303,Honda,Accord,2017,42544
621,Ford,Explorer,2026,42446
1047,Toyota,Corolla,2026,42444
1469,Honda,Civic,2016,42441
367,Honda,Civic,2017,42407
1037,Honda,Accord,2011,42390
1025,Toyota,Camry,2024,42376
476,Suzuki,Swift,2014,42371
708,Honda,Civic,2018,42345
1211,Suzuki,Alto,2023,42282
1048,Hyundai,Elantra,2014,42265
61,Suzuki,Alto,2011,42222
583,Hyundai,Elantra,2021,42171
605,Hyundai,Sonata,2010,42127
78,Toyota,Corolla,2020,42122
1189,Toyota,Corolla,2016,42115
124,Honda,Civic,2010,42099
139,Ford,Explorer,2021,42073
1353,Toyota,Camry,2017,42057
381,Honda,Accord,2012,42047
1086,Ford,Mustang,2018,42046
479,Honda,Civic,2013,42035
482,Hyundai,Sonata,2018,42034
494,Ford,Mustang,2022,42034
1242,Suzuki,Alto,2019,42034
93,Suzuki,Alto,2019,41970
566,Ford,Mustang,2010,41952
783,Honda,Accord,2022,41865
932,Honda,Civic,2015,41861
1129,Ford,Explorer,2019,41853
856,Toyota,Camry,2013,41848
1066,Ford,Explorer,2012,41836
109,Suzuki,Alto,2014,41822
913,Hyundai,Sonata,2017,41789
27,Hyundai,Elantra,2019,41779
276,Ford,Explorer,2022,41754
631,Hyundai,Elantra,2022,41735
647,Hyundai,Elantra,2013,41687
562,Honda,Civic,2015,41652
1340,Ford,Explorer,2016,41648
1009,Ford,Explorer,2025,41639
576,Toyota,Corolla,2010,41614
1062,Honda,Civic,2018,41596
1432,Suzuki,Swift,2024,41586
