Car_ID,Make,Model,Year,Price
168,Ford,Mustang,2021,5005
970,Suzuki,Swift,2026,5015
1102,Ford,Explorer,2019,5022
1367,Hyundai,Sonata,2024,5030
202,Suzuki,Alto,2012,5061
1466,Hyundai,Elantra,2018,5123
533,Suzuki,Swift,2022,5147
1154,Ford,Explorer,2020,5156
805,Suzuki,Alto,2012,5163
85,Honda,Civic,2026,5164
1236,Toyota,Camry,2022,5179
731,Hyundai,Sonata,2010,5182
203,Hyundai,Sonata,2015,5276
890,Hyundai,Sonata,2015,5283
692,Hyundai,Elantra,2014,5284
328,Ford,Mustang,2013,5290
681,Ford,Explorer,2023,5293
585,Suzuki,Alto,2016,5311
954,Toyota,Camry,2015,5343
1484,Ford,Mustang,2023,5361
1330,Honda,Civic,2016,5380
671,Honda,Accord,2016,5390
1449,Hyundai,Elantra,2010,5482
1087,Toyota,Corolla,2012,5522
1261,Hyundai,Sonata,2025,5568
438,Honda,Accord,2022,5579
1412,Toyota,Corolla,2013,5589
1227,Suzuki,Alto,2024,5654
1311,Toyota,Corolla,2015,5664
1252,Toyota,Corolla,2016,5699
1167,Suzuki,Swift,2016,5703
1156,Suzuki,Alto,2016,5705
333,Toyota,Camry,2021,5734
208,Toyota,Corolla,2025,5781
1059,Honda,Accord,2014,5786
1254,Suzuki,Swift,2021,5787
1058,Honda,Accord,2013,5848
247,Suzuki,Swift,2021,5880
13,Toyota,Corolla,2013,5913
937,Ford,Mustang,2024,5943
578,Toyota,Camry,2016,5947
1105,Ford,Explorer,2026,5947
212,Suzuki,Swift,2024,5976
1216,Ford,Mustang,2025,5989
412,Suzuki,Alto,2014,5992
175,Toyota,Corolla,2020,6003
177,Hyundai,Sonata,2018,6018
1304,Ford,Mustang,2018,6028
653,Honda,Accord,2014,6145
1375,Honda,Civic,2011,6257
762,Suzuki,Alto,2014,6284
936,Suzuki,Swift,2013,6285
484,Hyundai,Elantra,2015,6315
39,Toyota,Camry,2017,6317
190,Ford,Mustang,2021,6319
1299,Suzuki,Alto,2023,6341
1056,Suzuki,Alto,2013,6349
1270,Toyota,Camry,2018,6522
722,Hyundai,Sonata,2011,6548
902,Honda,Civic,2025,6561
928,Suzuki,Alto,2024,6575
261,Suzuki,Alto,2018,6576
